Filename,Method,Num_Raw_Files,Num_Results
proteinGroups_savitski_no_remap_128.csv,savitski_no_remap,128,0
proteinGroups_classic_no_grouping_no_remap_4096.csv,classic_no_grouping_no_remap,4096,0
proteinGroups_savitski_subset_no_remap_2048.csv,savitski_subset_no_remap,2048,6027
proteinGroups_classic_grouping_no_remap_8.csv,classic_grouping_no_remap,8,1166
proteinGroups_savitski_subset_no_remap_22796.csv,savitski_subset_no_remap,22796,4015
proteinGroups_savitski_subset_no_remap_1024.csv,savitski_subset_no_remap,1024,6136
proteinGroups_classic_rescue_grouping_no_remap_256.csv,classic_rescue_grouping_no_remap,256,7211
proteinGroups_savitski_rescued_subset_no_remap_8192.csv,savitski_rescued_subset_no_remap,8192,4547
proteinGroups_savitski_subset_no_remap_32.csv,savitski_subset_no_remap,32,1939
proteinGroups_picked_no_grouping_no_remap_1.csv,picked_no_grouping_no_remap,1,0
proteinGroups_savitski_no_remap_8.csv,savitski_no_remap,8,0
proteinGroups_savitski_no_remap_512.csv,savitski_no_remap,512,0
proteinGroups_picked_subset_no_remap_4096.csv,picked_subset_no_remap,4096,1756
proteinGroups_classic_grouping_no_remap_4096.csv,classic_grouping_no_remap,4096,7231
proteinGroups_savitski_rescued_subset_no_remap_16384.csv,savitski_rescued_subset_no_remap,16384,4012
proteinGroups_savitski_rescued_subset_no_remap_4096.csv,savitski_rescued_subset_no_remap,4096,5133
proteinGroups_classic_no_grouping_no_remap_4.csv,classic_no_grouping_no_remap,4,0
proteinGroups_classic_no_grouping_no_remap_32.csv,classic_no_grouping_no_remap,32,0
proteinGroups_classic_grouping_no_remap_22796.csv,classic_grouping_no_remap,22796,5247
proteinGroups_savitski_subset_no_remap_8.csv,savitski_subset_no_remap,8,828
proteinGroups_savitski_no_remap_22796.csv,savitski_no_remap,22796,0
proteinGroups_picked_protein_group_no_remap_256.csv,picked_protein_group_no_remap,256,1515
proteinGroups_classic_no_grouping_no_remap_8192.csv,classic_no_grouping_no_remap,8192,0
proteinGroups_classic_grouping_no_remap_8192.csv,classic_grouping_no_remap,8192,6208
proteinGroups_classic_rescue_grouping_no_remap_16.csv,classic_rescue_grouping_no_remap,16,1789
proteinGroups_picked_protein_group_no_remap_1024.csv,picked_protein_group_no_remap,1024,1731
proteinGroups_picked_subset_no_remap_8192.csv,picked_subset_no_remap,8192,1576
proteinGroups_picked_no_grouping_no_remap_1024.csv,picked_no_grouping_no_remap,1024,0
proteinGroups_picked_no_grouping_no_remap_2048.csv,picked_no_grouping_no_remap,2048,0
proteinGroups_picked_subset_no_remap_256.csv,picked_subset_no_remap,256,1455
proteinGroups_picked_protein_group_no_remap_2048.csv,picked_protein_group_no_remap,2048,1611
proteinGroups_classic_no_grouping_no_remap_256.csv,classic_no_grouping_no_remap,256,0
proteinGroups_picked_no_grouping_no_remap_32.csv,picked_no_grouping_no_remap,32,0
proteinGroups_savitski_rescued_subset_no_remap_22796.csv,savitski_rescued_subset_no_remap,22796,3935
proteinGroups_savitski_no_remap_4096.csv,savitski_no_remap,4096,0
proteinGroups_picked_subset_no_remap_32.csv,picked_subset_no_remap,32,849
proteinGroups_savitski_subset_no_remap_512.csv,savitski_subset_no_remap,512,5608
proteinGroups_classic_no_grouping_no_remap_2.csv,classic_no_grouping_no_remap,2,0
proteinGroups_classic_grouping_no_remap_16384.csv,classic_grouping_no_remap,16384,5373
proteinGroups_savitski_no_remap_16384.csv,savitski_no_remap,16384,0
proteinGroups_picked_protein_group_no_remap_8.csv,picked_protein_group_no_remap,8,449
proteinGroups_savitski_no_remap_64.csv,savitski_no_remap,64,0
proteinGroups_picked_subset_no_remap_8.csv,picked_subset_no_remap,8,443
proteinGroups_picked_no_grouping_no_remap_256.csv,picked_no_grouping_no_remap,256,0
proteinGroups_classic_rescue_grouping_no_remap_2048.csv,classic_rescue_grouping_no_remap,2048,8346
proteinGroups_classic_no_grouping_no_remap_1.csv,classic_no_grouping_no_remap,1,0
proteinGroups_classic_grouping_no_remap_32.csv,classic_grouping_no_remap,32,2814
proteinGroups_classic_rescue_grouping_no_remap_1024.csv,classic_rescue_grouping_no_remap,1024,8883
proteinGroups_savitski_rescued_subset_no_remap_256.csv,savitski_rescued_subset_no_remap,256,4638
proteinGroups_savitski_subset_no_remap_128.csv,savitski_subset_no_remap,128,3824
